 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction, balances
       0,  1.6761917e-02,  7.8607380e-03,  0.0000000e+00,  7.7700000e-06,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00
       1,  6.8790710e-02,  0.0000000e+00,  0.0000000e+00,  7.1257200e-04,  1.0927226e-02,  2.6063423e-02,  1.2769980e-02
       2,  5.0627796e-02,  0.0000000e+00,  0.0000000e+00,  6.0796300e-04,  3.6498600e-04,  2.0660918e-02,  1.2807330e-02
       3,  4.9562157e-02,  0.0000000e+00,  0.0000000e+00,  6.2670400e-04,  4.4435400e-04,  2.0541327e-02,  1.2663139e-02
       4,  4.9473382e-02,  0.0000000e+00,  0.0000000e+00,  6.3643500e-04,  4.5361100e-04,  2.0596451e-02,  1.2655671e-02
       5,  4.9411484e-02,  0.0000000e+00,  0.0000000e+00,  6.2362300e-04,  4.9146900e-04,  2.0483381e-02,  1.2726899e-02
       6,  4.9418016e-02,  0.0000000e+00,  0.0000000e+00,  6.1556400e-04,  5.0600900e-04,  2.0480666e-02,  1.2590058e-02
       7,  4.9731831e-02,  0.0000000e+00,  0.0000000e+00,  6.2148500e-04,  5.5029600e-04,  2.0682491e-02,  1.2687610e-02
       8,  4.9494907e-02,  0.0000000e+00,  0.0000000e+00,  6.0896800e-04,  5.5335800e-04,  2.0523324e-02,  1.2734657e-02
       9,  4.9370926e-02,  0.0000000e+00,  0.0000000e+00,  6.1282900e-04,  5.4727700e-04,  2.0488772e-02,  1.2649214e-02
      10,  6.4354522e-02,  0.0000000e+00,  4.9054380e-03,  1.0263049e-02,  5.5542100e-04,  2.0476433e-02,  1.2672772e-02
